n	k	d	fom	l	m	A	B	wt	fam	C	D
152	8	18	17.0526	2	38	x^0*y^18+x^0*y^36+x^1*y^12+x^1*y^36	x^0*y^0+x^0*y^8+x^0*y^17+x^0*y^25	8	css		
342	12	22	16.9825	19	9	x^2*y^2+x^5*y^2+x^5*y^5+x^15*y^8+x^17*y^2	x^0*y^0+x^1*y^3+x^5*y^6	8	css		
300	8	25	16.6667	10	15	x^1*y^2+x^3*y^5+x^4*y^6	x^1*y^7+x^1*y^10+x^7*y^1+x^8*y^6	7	css		
144	6	20	16.6667	4	18	x^1*y^1+x^3*y^13+x^3*y^14+x^3*y^16	x^0*y^8+x^1*y^14+x^1*y^17+x^2*y^7	8	css		
240	8	22	16.1333	15	8	x^3*y^0+x^3*y^4+x^4*y^1+x^4*y^7+x^7*y^7+x^8*y^5+x^9*y^3+x^9*y^7	x^1*y^6+x^5*y^6+x^11*y^2+x^12*y^6	12	css		
108	6	17	16.0556	18	3	x^0*y^1+x^5*y^2+x^6*y^0+x^8*y^0+x^10*y^1+x^15*y^1+x^16*y^2+x^17*y^2	x^0*y^1+x^1*y^2+x^3*y^2+x^4*y^1+x^8*y^0+x^8*y^1+x^9*y^0+x^9*y^1	16	css		
162	8	18	16.0000	3	27	x^0*y^5+x^0*y^7+x^0*y^22+x^1*y^3+x^1*y^16+x^1*y^24+x^2*y^12	x^0*y^17+x^1*y^22+x^2*y^7+x^2*y^14	11	css		
224	6	24	15.4286	8	14	x^0*y^2+x^1*y^6+x^1*y^7+x^6*y^7	x^1*y^9+x^4*y^12+x^5*y^3+x^5*y^6+x^6*y^9+x^7*y^13	10	css		
102	6	16	15.0588	17	3	x^1*y^0+x^5*y^0+x^8*y^2+x^16*y^2	x^2*y^1+x^3*y^1+x^3*y^2+x^9*y^0+x^10*y^0+x^10*y^2	10	css		
96	14	10	14.5833	12	4	x^0*y^0+x^0*y^1+x^0*y^3+x^1*y^2+x^3*y^1+x^6*y^2+x^7*y^3+x^11*y^0	x^4*y^3+x^5*y^3+x^8*y^1+x^11*y^1	12	css		
144	8	16	14.2222	24	3	x^2*y^1+x^7*y^2+x^8*y^0+x^11*y^2+x^12*y^2+x^17*y^0+x^20*y^1	x^0*y^1+x^1*y^2+x^9*y^1+x^15*y^2+x^20*y^1+x^23*y^0	13	css		
138	6	18	14.0870	23	3	x^7*y^2+x^9*y^1+x^11*y^2+x^19*y^1	x^11*y^2+x^15*y^0+x^16*y^2+x^22*y^0	8	css		
112	8	14	14.0000	4	14	x^0*y^3+x^0*y^5+x^1*y^11+x^1*y^12+x^3*y^2+x^3*y^6+x^3*y^7+x^3*y^12	x^0*y^8+x^1*y^2+x^2*y^5+x^3*y^12	12	css		
228	6	23	13.9211	6	19	x^0*y^5+x^0*y^9+x^2*y^17+x^3*y^11+x^3*y^17+x^5*y^8	x^2*y^3+x^2*y^5+x^5*y^6+x^5*y^10	10	css		
98	8	13	13.7959	7	7	x^0*y^3+x^0*y^5+x^1*y^0+x^3*y^4	x^0*y^2+x^1*y^2+x^2*y^2+x^2*y^3+x^5*y^2+x^5*y^3	10	css		
84	8	12	13.7143	21	2	x^1*y^1+x^2*y^1+x^3*y^0+x^13*y^1	x^5*y^1+x^8*y^0+x^13*y^0+x^13*y^1+x^15*y^0+x^19*y^0	10	css		
32	12	6	13.5000	4	4	x^0*y^3+x^1*y^0+x^1*y^1+x^2*y^0	x^0*y^2+x^0*y^3+x^2*y^0+x^2*y^1	8	css		
150	4	22	12.9067	25	3	x^1*y^1+x^3*y^0+x^13*y^1+x^14*y^1+x^17*y^1+x^24*y^0	x^13*y^2+x^18*y^0+x^20*y^1	9	css		
180	4	24	12.8000	45	2	x^13*y^0+x^20*y^0+x^24*y^1	x^0*y^1+x^20*y^1+x^23*y^0+x^33*y^0	7	css		
108	38	4	5.6296	6	9	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^0+x^1*y^1+x^1*y^2	x^0*y^0+x^0*y^2+x^0*y^4+x^1*y^0+x^1*y^2+x^1*y^4	12	css		
162	50	4	4.9383	9	9	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^0+x^1*y^1+x^1*y^2	x^0*y^0+x^0*y^2+x^0*y^4+x^1*y^0+x^1*y^2+x^1*y^4	12	css		
144	44	4	4.8889	6	12	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^0+x^1*y^1+x^1*y^2	x^0*y^0+x^0*y^2+x^0*y^4+x^1*y^0+x^1*y^2+x^1*y^4	12	css		
