n	k	d	fom	l	m	A	B	wt	fam	C	D
24	4	4	2.6667	2	6	x^0*y^5+x^1*y^1+x^1*y^3	x^0*y^3+x^0*y^4+x^0*y^5	8	pbb	x^0*y^4+x^1*y^0	
12	4	2	1.3333	2	3	x^1*y^0+x^1*y^1+x^1*y^2	x^0*y^2+x^1*y^0+x^1*y^1	8	pbb	x^0*y^0+x^1*y^2	
24	8	2	1.3333	2	6	x^0*y^3+x^0*y^5+x^1*y^1	x^0*y^1+x^0*y^3+x^0*y^5	7	pbb		x^1*y^1
12	2	2	0.6667	2	3	x^0*y^1+x^1*y^0+x^1*y^2	x^0*y^0+x^1*y^1+x^1*y^2	9	pbb	x^0*y^1+x^0*y^2	x^0*y^1
36	4	2	0.4444	6	3	x^0*y^0+x^1*y^1+x^1*y^2	x^1*y^1+x^3*y^2+x^5*y^0	8	pbb		x^1*y^1+x^4*y^1
18	2	2	0.4444	3	3	x^0*y^1+x^1*y^1+x^2*y^1	x^0*y^2+x^1*y^2+x^2*y^1	8	pbb	x^0*y^2+x^2*y^0	
