n	k	d	fom	l	m	A	B	wt	fam	C	D
240	6	20	10.0000	3	40	x^0*y^0+x^0*y^20+x^1*y^3+x^1*y^31+x^2*y^8+x^2*y^37	x^0*y^9+x^0*y^11+x^1*y^8+x^1*y^10+x^1*y^18+x^1*y^24+x^2*y^17+x^2*y^33	14	css		
640	4	40	10.0000	40	8	x^5*y^6+x^7*y^7+x^13*y^1+x^16*y^0+x^18*y^3+x^31*y^1+x^32*y^3+x^37*y^3	x^12*y^3+x^19*y^2+x^19*y^4+x^38*y^7	12	css		
154	6	16	9.9740	7	11	x^1*y^9+x^5*y^8+x^6*y^3	x^2*y^6+x^3*y^3+x^5*y^4	6	css		
714	4	42	9.8824	51	7	x^19*y^4+x^39*y^4+x^50*y^1	x^5*y^0+x^34*y^2+x^47*y^4+x^49*y^1	7	css		
196	4	22	9.8776	49	2	x^8*y^1+x^22*y^1+x^35*y^1+x^48*y^1	x^2*y^1+x^15*y^0+x^22*y^0+x^22*y^1	8	css		
882	6	38	9.8231	9	49	x^3*y^25+x^4*y^15+x^5*y^38	x^0*y^23+x^3*y^38+x^8*y^0	6	css		
80	4	14	9.8000	2	20	x^0*y^5+x^0*y^9+x^0*y^10+x^0*y^11+x^0*y^17+x^1*y^3+x^1*y^10+x^1*y^15	x^0*y^9+x^0*y^19+x^1*y^0+x^1*y^4+x^1*y^9+x^1*y^13+x^1*y^15+x^1*y^19	16	css		
320	4	28	9.8000	8	20	x^2*y^10+x^3*y^0+x^4*y^12+x^4*y^16+x^7*y^12+x^7*y^14	x^0*y^2+x^1*y^12+x^2*y^4+x^2*y^10+x^3*y^2+x^5*y^12	12	css		
198	4	22	9.7778	33	3	x^12*y^1+x^13*y^1+x^18*y^2	x^5*y^0+x^11*y^0+x^12*y^2+x^15*y^1+x^21*y^0+x^23*y^2+x^26*y^2	10	css		
728	4	42	9.6923	26	14	x^7*y^6+x^12*y^3+x^20*y^2+x^20*y^6	x^0*y^10+x^9*y^1+x^18*y^4+x^21*y^11	8	css		
348	4	29	9.6667	58	3	x^23*y^1+x^28*y^1+x^46*y^1+x^55*y^1	x^6*y^2+x^21*y^1+x^21*y^2+x^24*y^0+x^29*y^1+x^32*y^1+x^47*y^0+x^52*y^2	12	css		
140	6	15	9.6429	7	10	x^0*y^0+x^1*y^8+x^2*y^8+x^5*y^0+x^6*y^0+x^6*y^4	x^1*y^2+x^2*y^7+x^4*y^9	9	css		
480	4	34	9.6333	4	60	x^1*y^8+x^1*y^12+x^2*y^41+x^3*y^24	x^0*y^21+x^0*y^57+x^2*y^39+x^3*y^16	8	css		
540	4	36	9.6000	15	18	x^2*y^10+x^6*y^8+x^7*y^17+x^10*y^6+x^14*y^4	x^4*y^3+x^4*y^13+x^6*y^3+x^9*y^1+x^11*y^1+x^11*y^3	11	css		
360	6	24	9.6000	9	20	x^0*y^8+x^0*y^15+x^3*y^19+x^6*y^11	x^1*y^11+x^2*y^16+x^2*y^18+x^4*y^9+x^5*y^6+x^8*y^18	10	css		
90	6	12	9.6000	15	3	x^3*y^1+x^5*y^1+x^5*y^2+x^9*y^1+x^11*y^1+x^13*y^2	x^0*y^1+x^9*y^1+x^10*y^1+x^11*y^1	10	css		
846	4	45	9.5745	9	47	x^1*y^21+x^2*y^15+x^3*y^28	x^0*y^43+x^2*y^39+x^3*y^44+x^5*y^7	7	css		
288	4	26	9.3889	24	6	x^8*y^0+x^10*y^2+x^12*y^5+x^23*y^4	x^15*y^2+x^15*y^3+x^23*y^0	7	css		
464	4	33	9.3879	58	4	x^2*y^0+x^20*y^0+x^46*y^0+x^52*y^2	x^11*y^2+x^13*y^1+x^21*y^0+x^53*y^2	8	css		
384	4	30	9.3750	16	12	x^1*y^6+x^1*y^8+x^3*y^2+x^3*y^10+x^11*y^10+x^14*y^8	x^1*y^11+x^13*y^2+x^13*y^6+x^15*y^9	10	css		
336	4	28	9.3333	6	28	x^0*y^4+x^2*y^13+x^2*y^23+x^3*y^15+x^5*y^9+x^5*y^27	x^0*y^5+x^0*y^26+x^2*y^18+x^3*y^2	10	css		
84	4	14	9.3333	2	21	x^0*y^2+x^0*y^5+x^0*y^6+x^0*y^8+x^0*y^16+x^1*y^0+x^1*y^3	x^0*y^2+x^0*y^12+x^1*y^16	10	css		
