n	k	d	fom	l	m	A	B	wt	fam	C	D
32	24	8	48.0000	8	2	x^0*y^0+x^0*y^1+x^4*y^0+x^4*y^1		4	css		
36	24	9	54.0000	6	3	x^0*y^0+x^0*y^2+x^3*y^0+x^3*y^2		4	css		
40	30	11	90.7500	2	10	x^0*y^0+x^0*y^5+x^1*y^0+x^1*y^5		4	css		
40	24	10	60.0000	4	5	x^0*y^0+x^0*y^3+x^2*y^0+x^2*y^3		4	css		
44	24	11	66.0000	2	11	x^0*y^0+x^0*y^5+x^1*y^0+x^1*y^5		4	css		
48	36	14	147.0000	12	2	x^0*y^0+x^0*y^1+x^6*y^0+x^6*y^1		4	css		
