n	k	d	fom	l	m	A	B	wt	fam	C	D
160	8	20	20.0000	5	16	x^0*y^8+x^0*y^10+x^0*y^13+x^0*y^15+x^1*y^15+x^3*y^0+x^4*y^6+x^4*y^9	x^0*y^4+x^0*y^8+x^1*y^5+x^2*y^9+x^3*y^0+x^3*y^12	14	css		
476	8	34	19.4286	17	14	x^2*y^11+x^9*y^3+x^9*y^4+x^10*y^3	x^4*y^11+x^8*y^9+x^11*y^6+x^14*y^3	8	css		
960	8	48	19.2000	15	32	x^0*y^15+x^1*y^9+x^2*y^7+x^6*y^3+x^7*y^20+x^11*y^25+x^11*y^28	x^0*y^13+x^0*y^29+x^4*y^10+x^4*y^16	11	css		
126	6	20	19.0476	7	9	x^0*y^7+x^1*y^5+x^2*y^7+x^3*y^7+x^4*y^2+x^5*y^4+x^6*y^3+x^6*y^6	x^0*y^4+x^1*y^1+x^5*y^2+x^6*y^5	12	css		
114	6	19	19.0000	19	3	x^0*y^1+x^1*y^2+x^2*y^2+x^5*y^1+x^17*y^0+x^18*y^0	x^1*y^0+x^4*y^1+x^5*y^0+x^11*y^0+x^13*y^0+x^17*y^1	12	css		
456	6	38	19.0000	6	38	x^1*y^33+x^3*y^29+x^5*y^16+x^5*y^34	x^0*y^27+x^0*y^32+x^1*y^34+x^1*y^35+x^3*y^14+x^3*y^34+x^4*y^7+x^4*y^33	12	css		
168	6	23	18.8929	3	28	x^0*y^15+x^1*y^12+x^1*y^13+x^2*y^1+x^2*y^3+x^2*y^8	x^0*y^15+x^0*y^22+x^1*y^9+x^2*y^6+x^2*y^24+x^2*y^26	12	css		
90	10	13	18.7778	3	15	x^0*y^3+x^0*y^8+x^0*y^13+x^0*y^14+x^1*y^0+x^2*y^3	x^0*y^3+x^0*y^7+x^0*y^11+x^0*y^14+x^2*y^12+x^2*y^13	12	css		
288	8	26	18.7778	12	12	x^0*y^7+x^0*y^11+x^2*y^3+x^2*y^9+x^5*y^8+x^7*y^4+x^7*y^6+x^8*y^3	x^0*y^4+x^0*y^9+x^6*y^10+x^7*y^8+x^7*y^10	13	css		
462	6	38	18.7532	11	21	x^1*y^5+x^4*y^13+x^6*y^2+x^9*y^4	x^3*y^1+x^6*y^16+x^6*y^20+x^7*y^4+x^7*y^11+x^9*y^7	10	css		
