n	k	d	fom	l	m	A	B	wt	fam	C	D
210	10	23	25.1905	35	3	x^6*y^0+x^14*y^1+x^21*y^1+x^24*y^0	x^2*y^1+x^9*y^0+x^24*y^2+x^27*y^1	8	css		
168	8	23	25.1905	4	21	x^0*y^0+x^0*y^19+x^2*y^15+x^2*y^19	x^1*y^0+x^1*y^12+x^2*y^7+x^2*y^20	8	css		
216	8	26	25.0370	54	2	x^11*y^1+x^22*y^0+x^38*y^0+x^43*y^0	x^15*y^1+x^25*y^1+x^45*y^1+x^50*y^0+x^51*y^0	9	css		
288	8	30	25.0000	4	36	x^1*y^1+x^2*y^3+x^2*y^21+x^3*y^9	x^0*y^21+x^0*y^26+x^1*y^12+x^3*y^13	8	css		
252	8	28	24.8889	21	6	x^2*y^4+x^4*y^1+x^7*y^4+x^16*y^5+x^18*y^0	x^6*y^1+x^6*y^3+x^18*y^2	8	css		
156	8	22	24.8205	6	13	x^0*y^11+x^2*y^3+x^3*y^5+x^3*y^6+x^4*y^11	x^0*y^10+x^2*y^6+x^4*y^3+x^5*y^8+x^5*y^9	10	css		
310	8	31	24.8000	5	31	x^0*y^15+x^0*y^17+x^4*y^1+x^4*y^7	x^0*y^0+x^1*y^15+x^2*y^26+x^3*y^7+x^4*y^13	9	css		
144	8	21	24.5000	36	2	x^11*y^1+x^12*y^0+x^27*y^0+x^32*y^1	x^0*y^0+x^11*y^1+x^20*y^0+x^24*y^0	8	css		
256	8	28	24.5000	32	4	x^5*y^1+x^27*y^1+x^27*y^3+x^31*y^2	x^4*y^1+x^6*y^0+x^23*y^0+x^31*y^2	8	css		
336	8	32	24.3810	56	3	x^43*y^1+x^48*y^1+x^50*y^0+x^52*y^2+x^55*y^1	x^22*y^0+x^42*y^1+x^54*y^2	8	css		
200	10	22	24.2000	5	20	x^0*y^2+x^0*y^15+x^1*y^5+x^1*y^12	x^0*y^8+x^0*y^13+x^2*y^14+x^2*y^18	8	css		
160	8	22	24.2000	20	4	x^2*y^3+x^3*y^1+x^5*y^2+x^14*y^0	x^1*y^1+x^3*y^0+x^5*y^3+x^14*y^1	8	css		
224	8	26	24.1429	28	4	x^2*y^0+x^4*y^1+x^7*y^1+x^11*y^0	x^20*y^0+x^23*y^3+x^25*y^3+x^27*y^1	8	css		
176	8	23	24.0455	44	2	x^5*y^0+x^13*y^1+x^14*y^0+x^26*y^0	x^1*y^1+x^10*y^1+x^18*y^1+x^33*y^1	8	css		
192	8	24	24.0000	12	8	x^2*y^2+x^3*y^6+x^5*y^4+x^11*y^6	x^6*y^5+x^7*y^2+x^11*y^3+x^11*y^6	8	css		
168	10	20	23.8095	14	6	x^2*y^0+x^7*y^4+x^11*y^1+x^11*y^4+x^13*y^5	x^1*y^4+x^8*y^0+x^13*y^0+x^13*y^1	9	css		
264	8	28	23.7576	22	6	x^1*y^1+x^11*y^5+x^20*y^1+x^21*y^2	x^8*y^0+x^9*y^5+x^18*y^1	7	css		
