n	k	d_bposd	fom	l	m	A	B
552	8	42	25.5652	6	46	x^1*y^26+x^2*y^22+x^3*y^11	x^3*y^31+x^4*y^17+x^5*y^4
756	12	40	25.3968	9	42	x^1*y^22+x^4*y^13+x^7*y^37	x^1*y^21+x^1*y^35+x^6*y^28
504	8	40	25.3968	6	42	x^1*y^21+x^1*y^38+x^1*y^40	x^0*y^27+x^1*y^34+x^2*y^2
324	8	32	25.2840	6	27	x^2*y^1+x^2*y^14+x^5*y^3	x^0*y^22+x^1*y^2+x^5*y^0
864	8	52	25.0370	12	36	x^5*y^20+x^6*y^32+x^10*y^9	x^0*y^34+x^5*y^8+x^10*y^3
288	8	30	25.0000	18	8	x^4*y^6+x^12*y^3+x^17*y^5	x^0*y^5+x^4*y^4+x^11*y^3
936	8	54	24.9231	18	26	x^5*y^8+x^9*y^14+x^13*y^7	x^7*y^13+x^15*y^7+x^17*y^2
330	8	32	24.8242	5	33	x^4*y^2+x^4*y^27+x^4*y^28	x^0*y^29+x^1*y^8+x^3*y^3
624	8	44	24.8205	12	26	x^0*y^4+x^1*y^20+x^8*y^9	x^5*y^16+x^7*y^24+x^9*y^6
714	10	42	24.7059	51	7	x^2*y^5+x^27*y^3+x^37*y^2	x^4*y^0+x^14*y^2+x^24*y^6
810	8	50	24.6914	27	15	x^0*y^4+x^1*y^1+x^10*y^12	x^14*y^10+x^24*y^10+x^25*y^0
280	12	24	24.6857	4	35	x^2*y^25+x^2*y^29+x^2*y^30	x^1*y^15+x^1*y^34+x^3*y^26
588	10	38	24.5578	21	14	x^2*y^3+x^12*y^3+x^13*y^5	x^8*y^4+x^12*y^3+x^16*y^11
576	8	42	24.5000	36	8	x^12*y^6+x^23*y^7+x^31*y^0	x^30*y^1+x^34*y^6+x^35*y^5
336	8	32	24.3810	28	6	x^14*y^2+x^22*y^1+x^23*y^0	x^14*y^1+x^15*y^2+x^17*y^3
960	8	54	24.3000	8	60	x^2*y^24+x^7*y^8+x^7*y^46	x^2*y^37+x^3*y^39+x^6*y^53
828	8	50	24.1546	46	9	x^17*y^4+x^35*y^5+x^41*y^0	x^19*y^4+x^43*y^2+x^45*y^0
480	8	38	24.0667	4	60	x^2*y^2+x^2*y^7+x^3*y^12	x^0*y^16+x^2*y^35+x^3*y^4
900	8	52	24.0356	30	15	x^1*y^14+x^11*y^13+x^20*y^11	x^3*y^7+x^8*y^12+x^29*y^7
300	8	30	24.0000	10	15	x^1*y^12+x^8*y^11+x^9*y^0	x^6*y^10+x^7*y^11+x^8*y^14
768	8	48	24.0000	12	32	x^2*y^14+x^4*y^22+x^6*y^20	x^7*y^18+x^8*y^7+x^9*y^29
972	8	54	24.0000	27	18	x^10*y^3+x^13*y^13+x^19*y^5	x^11*y^4+x^17*y^2+x^18*y^14
432	8	36	24.0000	36	6	x^1*y^5+x^11*y^5+x^15*y^3	x^1*y^2+x^8*y^0+x^18*y^5
648	8	44	23.9012	54	6	x^8*y^0+x^9*y^4+x^27*y^3	x^17*y^5+x^26*y^0+x^50*y^1
984	8	54	23.7073	12	41	x^1*y^8+x^3*y^25+x^11*y^34	x^3*y^28+x^7*y^26+x^11*y^40
980	12	44	23.7061	35	14	x^4*y^8+x^13*y^0+x^20*y^9	x^1*y^0+x^5*y^9+x^19*y^5
540	8	40	23.7037	18	15	x^1*y^4+x^3*y^2+x^7*y^5	x^4*y^5+x^8*y^1+x^13*y^12
660	8	44	23.4667	11	30	x^9*y^16+x^10*y^11+x^10*y^21	x^0*y^23+x^4*y^29+x^9*y^6
450	8	36	23.0400	15	15	x^4*y^12+x^5*y^4+x^8*y^7	x^1*y^8+x^2*y^5+x^8*y^4
294	10	26	22.9932	21	7	x^5*y^3+x^7*y^4+x^18*y^5	x^6*y^1+x^11*y^6+x^16*y^6
252	10	24	22.8571	6	21	x^2*y^1+x^2*y^5+x^4*y^13	x^1*y^20+x^2*y^18+x^3*y^10
180	16	16	22.7556	6	15	x^0*y^5+x^0*y^12+x^4*y^14	x^2*y^1+x^2*y^7+x^2*y^14
510	8	38	22.6510	15	17	x^1*y^16+x^4*y^6+x^5*y^12	x^0*y^14+x^7*y^2+x^13*y^11
630	8	42	22.4000	45	7	x^11*y^3+x^37*y^0+x^40*y^5	x^0*y^1+x^3*y^3+x^4*y^3
864	12	40	22.2222	12	36	x^0*y^11+x^2*y^5+x^9*y^8	x^5*y^5+x^6*y^11+x^11*y^17
912	8	50	21.9298	12	38	x^0*y^37+x^10*y^24+x^11*y^22	x^8*y^13+x^9*y^29+x^10*y^24
990	8	52	21.8505	9	55	x^2*y^17+x^4*y^19+x^7*y^15	x^0*y^5+x^5*y^19+x^6*y^53
972	12	42	21.7778	9	54	x^2*y^9+x^5*y^45+x^8*y^28	x^0*y^31+x^3*y^25+x^6*y^40
924	8	50	21.6450	21	22	x^0*y^12+x^16*y^12+x^20*y^0	x^5*y^15+x^9*y^21+x^16*y^3
186	10	20	21.5054	3	31	x^0*y^9+x^1*y^16+x^2*y^11	x^0*y^19+x^0*y^23+x^2*y^2
224	12	20	21.4286	56	2	x^11*y^0+x^29*y^0+x^45*y^1	x^5*y^0+x^15*y^1+x^35*y^0
336	18	20	21.4286	56	3	x^1*y^0+x^5*y^0+x^28*y^0	x^1*y^2+x^17*y^2+x^53*y^2
420	10	30	21.4286	6	35	x^1*y^27+x^2*y^25+x^3*y^24	x^0*y^22+x^1*y^2+x^2*y^18
216	8	24	21.3333	18	6	x^6*y^3+x^12*y^4+x^17*y^1	x^12*y^2+x^12*y^4+x^14*y^2
372	10	28	21.0753	6	31	x^2*y^19+x^2*y^22+x^5*y^11	x^2*y^5+x^2*y^20+x^4*y^11
342	8	30	21.0526	57	3	x^23*y^2+x^35*y^1+x^41*y^0	x^8*y^1+x^16*y^0+x^30*y^2
450	12	28	20.9067	15	15	x^1*y^12+x^7*y^5+x^10*y^13	x^6*y^0+x^6*y^10+x^9*y^2
750	8	44	20.6507	25	15	x^4*y^5+x^8*y^8+x^9*y^7	x^7*y^11+x^9*y^6+x^22*y^3
868	10	42	20.3226	31	14	x^7*y^9+x^26*y^7+x^27*y^2	x^0*y^8+x^19*y^13+x^20*y^11
532	12	30	20.3008	19	14	x^5*y^3+x^7*y^13+x^14*y^11	x^7*y^4+x^11*y^8+x^12*y^2
408	8	32	20.0784	34	6	x^6*y^3+x^12*y^1+x^26*y^5	x^4*y^3+x^17*y^1+x^18*y^2
270	8	26	20.0296	15	9	x^2*y^7+x^4*y^1+x^5*y^3	x^0*y^6+x^11*y^5+x^14*y^2
882	10	42	20.0000	21	21	x^6*y^13+x^12*y^15+x^20*y^4	x^9*y^13+x^13*y^18+x^17*y^20
540	12	30	20.0000	18	15	x^7*y^1+x^11*y^9+x^16*y^2	x^9*y^11+x^15*y^9+x^17*y^10
780	8	44	19.8564	15	26	x^0*y^22+x^4*y^16+x^8*y^8	x^2*y^13+x^3*y^9+x^4*y^17
196	12	18	19.8367	14	7	x^0*y^4+x^10*y^2+x^12*y^0	x^1*y^6+x^8*y^1+x^8*y^2
248	10	22	19.5161	4	31	x^0*y^22+x^1*y^18+x^2*y^8	x^0*y^8+x^1*y^25+x^3*y^4
420	8	32	19.5048	5	42	x^1*y^41+x^2*y^1+x^3*y^8	x^0*y^40+x^2*y^2+x^4*y^4
462	10	30	19.4805	11	21	x^1*y^3+x^1*y^7+x^6*y^2	x^1*y^2+x^9*y^3+x^9*y^7
714	6	48	19.3613	17	21	x^1*y^7+x^11*y^16+x^12*y^10	x^4*y^20+x^10*y^9+x^14*y^1
558	12	30	19.3548	9	31	x^1*y^19+x^4*y^2+x^7*y^13	x^1*y^21+x^4*y^30+x^7*y^1
448	6	38	19.3393	7	32	x^0*y^23+x^4*y^27+x^6*y^0	x^0*y^15+x^2*y^23+x^3*y^9
840	6	52	19.3143	60	7	x^39*y^3+x^50*y^6+x^54*y^4	x^3*y^1+x^12*y^0+x^26*y^3
602	6	44	19.2957	43	7	x^8*y^6+x^12*y^1+x^27*y^5	x^9*y^5+x^26*y^1+x^27*y^6
658	6	46	19.2948	47	7	x^5*y^5+x^9*y^6+x^13*y^3	x^8*y^6+x^11*y^4+x^18*y^0
280	6	30	19.2857	28	5	x^3*y^1+x^7*y^0+x^8*y^3	x^4*y^1+x^6*y^4+x^24*y^1
168	10	18	19.2857	7	12	x^2*y^0+x^3*y^5+x^5*y^10	x^2*y^5+x^3*y^9+x^5*y^4
240	8	24	19.2000	2	60	x^0*y^58+x^1*y^6+x^1*y^29	x^1*y^4+x^1*y^12+x^1*y^26
406	6	36	19.1527	29	7	x^0*y^3+x^14*y^4+x^24*y^1	x^5*y^5+x^6*y^6+x^27*y^3
784	6	50	19.1327	14	28	x^8*y^1+x^11*y^16+x^12*y^4	x^2*y^17+x^9*y^26+x^11*y^9
322	6	32	19.0807	23	7	x^6*y^2+x^15*y^5+x^22*y^3	x^0*y^4+x^11*y^3+x^11*y^6
728	12	34	19.0549	26	14	x^7*y^3+x^13*y^9+x^22*y^12	x^1*y^1+x^8*y^0+x^12*y^10
504	6	40	19.0476	7	36	x^0*y^24+x^2*y^0+x^3*y^3	x^0*y^11+x^1*y^24+x^5*y^23
210	10	20	19.0476	7	15	x^1*y^13+x^3*y^0+x^4*y^11	x^0*y^8+x^2*y^6+x^3*y^7
252	12	20	19.0476	6	21	x^1*y^1+x^2*y^12+x^3*y^11	x^0*y^16+x^4*y^18+x^5*y^11
672	8	40	19.0476	28	12	x^17*y^11+x^25*y^4+x^27*y^3	x^8*y^8+x^22*y^9+x^24*y^10
648	12	32	18.9630	12	27	x^5*y^6+x^6*y^21+x^11*y^0	x^0*y^1+x^2*y^7+x^10*y^13
162	12	16	18.9630	3	27	x^0*y^1+x^0*y^23+x^0*y^24	x^2*y^1+x^2*y^6+x^2*y^8
924	6	54	18.9351	11	42	x^4*y^15+x^7*y^23+x^7*y^39	x^3*y^39+x^10*y^28+x^10*y^33
560	6	42	18.9000	35	8	x^0*y^4+x^4*y^5+x^5*y^4	x^4*y^1+x^19*y^2+x^21*y^3
672	6	46	18.8929	6	56	x^1*y^3+x^2*y^47+x^5*y^23	x^1*y^22+x^3*y^49+x^4*y^31
612	8	38	18.8758	18	17	x^8*y^12+x^10*y^8+x^12*y^13	x^1*y^15+x^3*y^12+x^17*y^8
462	6	38	18.7532	33	7	x^5*y^5+x^18*y^3+x^27*y^2	x^8*y^2+x^26*y^0+x^28*y^6
420	6	36	18.5143	7	30	x^1*y^18+x^3*y^12+x^4*y^11	x^2*y^4+x^4*y^13+x^5*y^13
812	6	50	18.4729	58	7	x^13*y^2+x^27*y^0+x^56*y^6	x^1*y^2+x^37*y^4+x^47*y^1
574	6	42	18.4390	7	41	x^0*y^18+x^2*y^20+x^3*y^27	x^2*y^6+x^4*y^28+x^5*y^26
882	6	52	18.3946	21	21	x^2*y^3+x^4*y^19+x^19*y^7	x^3*y^16+x^4*y^16+x^15*y^4
294	6	30	18.3673	7	21	x^3*y^12+x^3*y^16+x^6*y^8	x^0*y^6+x^5*y^6+x^5*y^16
378	6	34	18.3492	7	27	x^0*y^21+x^1*y^26+x^5*y^20	x^1*y^5+x^2*y^8+x^6*y^17
336	6	32	18.2857	7	24	x^1*y^12+x^2*y^5+x^6*y^10	x^2*y^2+x^4*y^16+x^5*y^4
168	12	16	18.2857	28	3	x^2*y^1+x^4*y^2+x^8*y^2	x^6*y^0+x^8*y^1+x^12*y^0
756	6	48	18.2857	54	7	x^7*y^2+x^10*y^1+x^34*y^4	x^30*y^2+x^38*y^6+x^47*y^0
252	8	24	18.2857	21	6	x^0*y^4+x^10*y^0+x^17*y^5	x^3*y^2+x^16*y^0+x^17*y^1
476	6	38	18.2017	7	34	x^0*y^3+x^4*y^20+x^6*y^12	x^0*y^17+x^4*y^7+x^6*y^19
